object_name,galactic_l_deg,galactic_b_deg,distance_to_sun_Lj,brightness_mag,object_type
NGC 129 17,120.38453490227245,-2.630833254350892,6077.025537515117,14.82,Star
NGC 129 18,120.38304625491881,-2.523020282358353,6015.980044208769,13.4,Star
NGC 129 19,120.3821371902987,-2.5319811135772774,10415.285169952835,14.51,Star
NGC 129 20,120.38330542603055,-2.602865925041842,629.4795258556022,12.9,Star
NGC 129 21,120.38017603054938,-2.6042729028607026,14685.112628160972,15.29,Star
NGC 129 22,120.37934194793267,-2.5667430038486745,6514.443966488823,12.99,Star
NGC 129 23,120.37804617313232,-2.5549367145769972,6451.65353656181,13.4,Star
NGC 129 24,120.37818406539094,-2.5483723379845586,6453.287471295266,11.76,Star
NGC 129 25,120.37900816856506,-2.635018958285633,5844.959077814355,15.34,Star
NGC 129 26,120.37551207042047,-2.53409464702428,5821.72010974725,12.65,Star
NGC 129 27,120.37519230907134,-2.504854163666269,6451.924572511674,0.0,Star
NGC 129 28,120.37289077473241,-2.4839931838299916,5115.448043232627,13.2,Star
NGC 129 29,120.37282515359055,-2.626903992955145,2465.750206201129,14.43,Star
NGC 129 30,120.37137087460344,-2.6249392415353507,6351.808371846139,12.9,Star
NGC 129 31,120.3698557030207,-2.621045923697093,3180.166397466781,14.33,Star
NGC 129 32,120.36831845052349,-2.606628725110141,6293.638925478303,14.46,Star
NGC 129 33,120.36991199048067,-2.5257633235050028,5895.580287133212,12.12,Star
NGC 129 34,120.36706001712291,-2.498219955362197,5232.7330612606,0.0,Star
NGC 129 35,120.3637874827705,-2.6439586858986863,5486.095194970767,13.2,Star
NGC 129 36,120.36169437484956,-2.6426906575321096,2934.550749523837,15.03,Star
NGC 129 37,120.35927521314676,-2.4908151936129825,8265.863923629822,0.0,Star
NGC 129 38,120.35961912776705,-2.4760631988807793,6208.142793161714,0.0,Star
NGC 129 39,120.35684699174531,-2.4687304957238445,6339.199383722059,12.6,Star
NGC 129 40,120.35636018346862,-2.6353094781109765,5673.296616184412,14.91,Star
NGC 129 41,120.355904575564,-2.647805884412234,3450.93506217933,14.98,Star
NGC 129 42,120.354074102796,-2.6154114779796322,6764.446091555379,14.53,Star
NGC 129 43,120.35464542436547,-2.573899191216121,6092.923486551869,14.59,Star
NGC 129 44,120.35020514284517,-2.5647645630438842,6185.104193829306,15.13,Star
NGC 129 45,120.35094795891281,-2.5152271408557234,6387.4141025674935,13.3,Star
NGC 129 46,120.34642350988616,-2.5158023556782694,5955.106435313467,13.6,Star
NGC 129 47,120.34682148007295,-2.621369914642247,6024.321493568304,13.73,Star
NGC 129 48,120.34514025962683,-2.4759154008128164,529.031189278783,9.62,Star
NGC 129 49,120.34224619139583,-2.466170646738191,4132.527527906571,13.5,Star
NGC 129 50,120.34147973337974,-2.6516950823562104,13802.641101724488,0.0,Star
NGC 129 51,120.34142189007532,-2.5769507274077625,6174.16262582679,15.28,Star
NGC 129 52,120.340544929605,-2.550848015240369,5837.637030213305,15.46,Star
NGC 129 53,120.33998539682028,-2.5484779194504728,12745.46065001221,15.32,Star
NGC 129 54,120.33762094992576,-2.5311799017103436,0.0,15.87,Star
NGC 129 55,120.33798939154902,-2.4796019351739136,6187.837492993177,0.0,Star
NGC 129 56,120.336715426863,-2.5667495242692597,6526.804967047065,14.41,Star
NGC 129 57,120.33497000577755,-2.6430049111265643,3691.221314910747,14.8,Star
NGC 129 58,120.33489816748066,-2.53716114096632,5841.277098466563,13.0,Star
NGC 129 59,120.33321819054996,-2.540500482582206,6171.1318720464615,14.7,Star
